pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
72371,11,Online,India,Telangana,Hyderabad,Primary,05-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,05-12-2025 17:42,1,1
72371,11,Online,India,Tamil Nadu,Chennai,Primary,03-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,03-12-2025 13:51,1,1
72371,11,Online,India,Madhya Pradesh,Gwalior,Primary,02-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,03-12-2025 11:22,1,1
72371,11,API,India,Madhya Pradesh,Sagar,Primary,01-12-2025,collegedunia/270/api_eXFjZi8yQWRJVkxVdzNjOG1UNHFLUT09,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,29-01-2026 12:49,1,1
72371,11,API,India,Gujarat,Ahmedabad,Primary,29-11-2025,collegedunia/268/api_cmtuYmhCczMxbldZMHhqMGxBcS94dz09,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,07-03-2026 11:31,2,1
72371,11,Online,India,Maharashtra,Nagpur,Primary,28-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,28-11-2025 19:39,1,1
72371,11,Online,India,Maharashtra,Satara,Primary,28-11-2025,collegedunia/CDC/online,Closed,Verified,Mobile,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,28-11-2025 16:15,1,1
72371,11,Online,India,Madhya Pradesh,Gwalior,Primary,28-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,28-11-2025 16:14,2,1
72371,11,Online,India,Uttar Pradesh,Kanpur Nagar,Primary,28-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,28-11-2025 13:58,1,1
72371,11,Online,India,Uttarakhand,Dehradun,Primary,28-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,17-12-2025 22:17,1,1
72371,11,Online,India,West Bengal,Howrah,Primary,26-11-2025,collegedunia/CDC/online,Closed,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,28-11-2025 19:57,1,1
72371,11,Online,India,Uttar Pradesh,Meerut,Primary,26-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,02-02-2026 13:40,1,1
72371,11,Online,India,Jammu and Kashmir,Udhampur,Primary,26-11-2025,collegedunia/CDC/online,Ringing No Response,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,21-01-2026 14:46,1,1
72371,11,Online,India,Uttar Pradesh,Noida,Primary,26-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,27-11-2025 19:12,1,1
72371,11,Online,India,West Bengal,Kolkata,Primary,26-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,21-01-2026 09:49,1,1
72371,11,API,India,Gujarat,Junagadh,Primary,26-11-2025,collegedunia/271/api_bFhDYlVTanNxNStTTmljT0JHNk5wUT09,Interview Given,Verified,,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,06-12-2025 18:05,1,1
72371,11,Online,India,Uttar Pradesh,Allahabad,Primary,25-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,01-12-2025 16:32,1,1
72371,11,Online,India,Madhya Pradesh,Jabalpur,Primary,25-11-2025,collegedunia/CDC/online,Closed,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,29-11-2025 19:55,1,1
72371,11,Online,India,Madhya Pradesh,Jabalpur,Primary,25-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,25-11-2025 20:04,1,1
72371,11,Online,India,Himachal Pradesh,Kangra,Primary,24-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,24-11-2025 21:27,2,1
72371,11,Online,India,Gujarat,Ahmedabad,Primary,24-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,03-12-2025 08:18,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,24-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,24-11-2025 21:18,1,1
72371,11,Online,India,Delhi,North West Delhi,Primary,24-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,06-12-2025 11:07,1,1
72371,11,Online,India,Bihar,Lakhisarai,Primary,24-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,01-12-2025 14:08,1,1
72371,11,Online,India,Uttar Pradesh,Meerut,Primary,23-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,23-11-2025 16:47,1,1
72371,11,Online,India,Uttar Pradesh,Agra,Primary,22-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,22-11-2025 19:34,1,1
72371,11,API,India,Uttar Pradesh,Ghaziabad,Primary,22-11-2025,collegedunia/270/api_140153285,Moved To Application,Verified,,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,05-12-2025 17:44,1,1
72371,11,Online,India,Andaman and Nicobar,Car Nicobar,Primary,21-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,28-11-2025 19:56,1,1
72371,11,Online,India,Maharashtra,Pune,Primary,21-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,22-11-2025 10:01,1,1
72371,11,Online,India,Odisha,Cuttack,Primary,21-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,24-11-2025 18:31,1,1
72371,11,Online,India,Odisha,Bhubaneswar,Primary,21-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,05-12-2025 11:35,1,1
72371,11,API,India,Jharkhand,Dhanbad,Primary,21-11-2025,collegedunia/267/api_139288711,Moved To Application,Verified,,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,05-12-2025 19:06,1,1
