Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Lead Stage,Lead Status,Email Verification Status,Mobile Verification Status,Lead Score,Registration Device,Course,Specialization,Campus,Last Lead Activity Date,Form Initiated,Paid Applications,Enrolment Status
API,India,Maharashtra,Navi Mumbai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:28,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:28,0,0,No
API,India,Andhra Pradesh,Narsipatnam,Primary,16-03-2026,collegedunia/265/api,Not Interested,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:28,0,0,No
API,India,Andhra Pradesh,Proddatur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:28,0,0,No
API,India,Telangana,Hyderabad,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:28,0,0,No
API,India,Karnataka,Bengaluru,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,4,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:28,0,0,No
API,India,Karnataka,Bengaluru,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,4,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:28,0,0,No
API,India,Rajasthan,Jaipur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:28,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:28,0,0,No
API,India,Chandigarh,Chandigarh,Primary,16-03-2026,collegedunia/266/api,Not Interested,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:27,0,0,No
